Round,Court,AA,AB,BA,BB
1,1,6,2,5,3
1,2,4,7,1,8
2,1,1,4,3,2
2,2,7,8,5,6
3,1,7,5,4,3
3,2,8,6,1,2
4,1,8,2,3,7
4,2,1,6,5,4
5,1,4,6,8,3
5,2,2,5,1,7
6,1,8,5,2,4
6,2,3,1,7,6
7,1,3,6,5,1
7,2,4,8,7,2
8,1,5,3,8,7
8,2,4,1,6,2
