Round,Court,AA,AB,BA,BB
1,1,4,7,9,2
1,2,10,8,6,11
2,1,11,10,1,3
2,2,6,8,5,2
3,1,9,7,5,3
3,2,4,8,6,1
4,1,2,10,9,11
4,2,4,5,7,1
5,1,11,4,7,3
5,2,10,6,2,8
6,1,1,9,6,2
6,2,5,10,3,8
7,1,7,8,11,1
7,2,9,5,4,3
8,1,6,7,10,1
8,2,2,4,11,5
