Round,Court,AA,AB,BA,BB
1,1,8,7,9,6
1,2,3,2,1,5
2,1,3,1,4,6
2,2,2,5,9,7
3,1,4,1,8,9
3,2,5,7,3,6
4,1,2,8,3,4
4,2,5,6,9,1
5,1,8,5,7,4
5,2,6,2,9,3
6,1,7,1,2,4
6,2,5,9,8,3
7,1,2,1,8,6
7,2,9,4,7,3
8,1,9,2,4,5
8,2,6,7,1,8
