Round,Court,AA,AB,BA,BB
1,1,7,9,1,10
1,2,3,4,8,5
2,1,8,3,2,6
2,2,4,1,10,5
3,1,9,10,6,5
3,2,7,1,2,4
4,1,3,7,9,8
4,2,2,5,6,1
5,1,2,10,9,3
5,2,8,4,7,6
6,1,5,7,10,3
6,2,1,8,4,9
7,1,1,3,6,4
7,2,10,5,2,8
8,1,7,2,9,6
8,2,10,4,1,5
